# STRING,ENGLISH,SIMPLIFIED CHINESE,TRADITIONAL CHINESE
STR_GRF_NAME,China Set: MTR Addon {VERSION_STRING},中国包：港铁追加包 {VERSION_STRING},中國包：港鐵追加包 {VERSION_STRING}
STR_GRF_DESC,This NewGRF add the vehicles of MTR to China Set.,为中国包追加了港铁的载具,為中國包增加了港鐵的載具。繁體中文缺少本地化人員，如有意向請加入我們discord群組https://discord.com/invte/hmWauemwse
STR_GRF_URL,https://www.tt-forums.net/viewtopic.php?t=91092,,
STR_GRF_DESC_README,This NewGRF is in Early Access.Update in the future may broke the compatable.,仍在测试当中，可能存在不稳定情况。后续更新可能会破坏兼容,
STR_GRF_DESC_MTR,{RED}Caring for every journey,{RED}心系生活每一程,{RED}心系生活每一程
STR_PARAM_LOADING_SPEED,Loading Speed,装载速度,
STR_PARAM_LOADING_SPEED_DESC,Adjust vehicle loading speed. Default is 100%.,调整车辆装载速度。默认为100%。,
STR_PARAM_PURCHASE_COST,Purchase costs,购买费用,
STR_PARAM_PURCHASE_COST_DESC,Adjust vehicle purchase costs. Default is 25%.,调整车辆购买费用。默认为25%。,
STR_PARAM_RUNNING_COST,Running costs,运营费用,
STR_PARAM_RUNNING_COST_DESC,Adjust vehicle running costs. Default is 25%.,调整车辆运营费用。默认为25%。,
STR_PARAM_PERCENT_6,6.25%,,
STR_PARAM_PERCENT_13,12.50%,,
STR_PARAM_PERCENT_25,25%,,
STR_PARAM_PERCENT_50,50%,,
STR_PARAM_PERCENT_75,75%,,
STR_PARAM_PERCENT_100,100%,,
STR_PARAM_PERCENT_125,125%,,
STR_PARAM_PERCENT_150,150%,,
STR_PARAM_PERCENT_175,175%,,
STR_PARAM_PERCENT_200,200%,,
STR_PARAM_PERCENT_400,400%,,
STR_PARAM_PERCENT_800,800%,,
STR_PARAM_PERCENT_1600,1600%,,
STR_PARAM_CARGO_DECAY,Cargo Age Period,货物贬值周期,
STR_PARAM_CARGO_DECAY_DESC,"Adjust cargo age period of coaches and wagons. ""Long"" is ""Standard"" doubled, while ""Very Long"" is ""Long"" doubled. Even in ""Standard"" mode, cargo age period varies.",调整车厢的货物贬值周期。“较长”为“标准”的两倍，“很长”是“较长”的两倍。即使在“标准”设置下，货物贬值周期也随车厢种类而变化。,
STR_PARAM_STANDARD,Standard,标准,
STR_PARAM_LONG,Long,较长,
STR_PARAM_VERY_LONG,Very Long,很长,
STR_PARAM_CARGO_CAPACITY,Capacity,载客量,
STR_PARAM_CARGO_CAPACITY_DESC,"Capacity of Nomal Class(include 2nd-Class, 3rd-Class) Coaches of trains and Buses.",决定普通车厢(包括二等车，三等车)的载客量倍数,
STR_USED_WITH_DYNAMIC_ENGINES,"This GRF needs dynamic_engines to be turned on. Open console, and type ""setting dynamic_engines 1"".","请切换至控制台模式, 键入 ""setting dynamic_engines 1"", 否则您无法游玩中国包.",
# IMPORT,,,
STR_US_IMPORT,Imported from United States,美国进口车型,
STR_FR_IMPORT,Imported from France,法国进口车型,
# DESC,,,
STR_DESC_8,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_7,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_6,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_5,{STRING}{}{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_4,{STRING}{}{STRING}{}{STRING}{}{STRING},,
STR_DESC_3,{STRING}{}{STRING}{}{STRING},,
STR_DESC_2,{STRING}{}{STRING},,
STR_DEBUG_TEST,"This is a debug string, you shouldn't see it. But it happened, why? ",,
